1,ALB,Albania
2,ALG,Algeria
3,ANG,Angola
4,ARG,Argentina
5,ARM,Armenia
6,AUS,Australia
7,AUT,Austria
8,USA,Austria
9,AUT,Austria
10,AZE,Azerbaijan
11,BAN,Bangladesh
12,BLR,Belarus
13,BEL,Belgium
14,BOL,Bolivia
15,BIH,Bosnia-Herzegovina
16,BOT,Botswana
17,BRA,Brazil
18,BRU,Brunei
19,BUL,Bulgaria
20,BFA,BurkinaFaso
21,MYA,Burma
22,BDI,Burundi
23,BHU,Butan
24,CAM,Cambodia
25,CMR,Cameroon
26,CAN,Canada
27,CHI,Chile
28,CRC,Chile
29,CHI,Chile
30,CHN,China
31,COL,Colombia
32,CGO,Congo
33,CRC,CostaRica
34,CHI,CostaRica
35,CRC,CostaRica
36,CRO,Croatia
37,CYP,Cyprus
38,CZE,CzechRepublic
39,DEN,Denmark
40,ECU,Ecuador
41,EGY,Egypt
42,ENG,England
43,EQG,EquatorialGuinea
44,ERI,Eritrea
45,EST,Estonia
46,FRO,FaroeIslands
47,FIN,Finland
48,FRA,France
49,GAB,Gabon
50,GAM,Gambia
51,GEO,Georgia
52,GER,Germany
53,AUT,Germany
54,GER,Germany
55,GHA,Ghana
56,GIB,Gibraltar
57,GRE,Greece
58,GRL,Greenland
59,GUA,Guatemala
60,HON,Honduras
61,HKG,HongKong
62,HUN,Hungary
63,ISL,Iceland
64,IND,India
65,IDN,Indonesia
66,IRN,Iran
67,IRQ,Iraq
68,IRL,Ireland
69,ISR,Israel
70,ITA,Italy
71,CIV,IvoryCoast
72,JPN,Japan
73,JOR,Jordan
74,KAZ,Kazakhstan
75,KEN,Kenya
76,KUW,Kuwait
77,LAO,Laos
78,LVA,Latvia
79,LIB,Lebanon
80,LES,Lesotho
81,LTU,Lithuania
82,LUX,Luxemburg
83,MKD,Macedonia
84,MWI,Malawi
85,MAS,Malaysia
86,MLI,Mali
87,MLT,Malta
88,MEX,Mexico
89,MDA,Moldova
90,MNE,Montenegro
91,MAR,Morocco
92,MOZ,Mozambique
93,NEP,Nepal
94,NED,Netherlands
95,NZL,NewZeland
96,NGA,Nigeria
97,PKR,NorthKorea
98,NIR,NorthernIreland
99,NOR,Norway
100,OMA,Oman
101,PAR,Paraguay
102,PER,Peru
103,POL,Poland
104,POR,Portugal
105,QAT,Qatar
106,RSA,RepublicofSouthAfrica
107,ROU,Romania
108,RUS,Russia
109,RWA,Rwanda
110,KSA,SaudiArabia
111,SCO,Scotland
112,SEN,Senegal
113,SER,Serbia
114,SIN,Singapore
115,SVK,Slovakia
116,SVN,Slovenia
117,KOR,SouthKorea
118,ESP,Spain
119,SWE,Sweden
120,SUI,Switzerland
121,SYR,Syria
122,TPE,Taiwan
123,TAN,Tanzania
124,THA,Thailand
125,TRI,TrinidadandTobago
126,TUN,Tunisia
127,TUR,Turkey
128,TKM,Turkmenistan
129,UGA,Uganda
130,UKR,Ukraine
131,UAE,UnitedArabEmirates
132,USA,UnitedStatesofAmerica
133,GER,UnitedStatesofAmerica
134,USA,UnitedStatesofAmerica
135,URU,Uruguay
136,UZB,Uzbekistan
137,VEN,Venezuela
138,VIE,Vietnam
139,WAL,Wales
